Titulo,Link,Publicación,Tiempo Restante,Tipo de trabajo,Ubicación,Presupuesto,Experiencia Requerida,Cliente,Pais,Contenido,Mensaje
"Buscamos traductor de frases de español a  portugués (Portugués Nativo)
                ",http://www.nubelo.com/proyecto/buscamos-traductor-de-frases-de-espanol-a-portugues-portugues-nativo,"4 días
                       ","25 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Mejor Contigo  ,España                ,"
              Buscamos traductor portugués que traduzca una serie de frases para tazas, bolígrafos y cuadernos. Necesitamos que el traductor sea nativo de Portugal..Por favor,si está interesado no dude en contactar conmigo. Traducción del: RusoTraducción al: portuguésCantidad de palabras: De 500 a 1000Tipo de documento a traducir: Escritura creativa            ",""
"Incorporar animador a mi equipo para hacer vídeos animados
                ",http://www.nubelo.com/proyecto/incorporar-animador-a-mi-equipo-para-hacer-videos-animados,"4 días
                       ","25 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Jose Otero ,España                ,"
              Busco un animador para crear vídeo animados a partir de esta plantilla:https://videohive.net/item/pixity-land-character-explainer-toolkit/7139829?s_rank=54Por favor, enséñame 2 VÍDEOS ANIMADOS que hayas hecho para comprobar qué tal trabajas y empieza tu propuesta con la palabra 'amarillo' para saber que has leído las indicaciones.Si estoy contento con tu trabajo, me gustaría incorporarte a mi equipo de animadores, donde harías unos 8 vídeos mensuales            ",""
"Técnico de sonido directo para rodaje de documental en Paraguay, Colombia y Camerún
                ",http://www.nubelo.com/proyecto/tecnico-de-sonido-directo-para-rodaje-de-documental-en-paraguay-colombia-y-camerun,"4 días
                       ","25 días
                      ","proyecto freelance
           ","España, Barcelona
            ","2.000,00 €
                   ","Intermedio (3-5 años)
                  ",Albert Folk ,España                ,"
              Necesitamos un técnico de sonido directo con equipo propio, con experiencia en rodajes de documental.El proyecto es un documental sobre tres colegios pertenecientes a una ONG religiosa situados en Paraguay, Colombia y Camerún.El rodaje se compone de dos fases:Dos semanas de rodaje en Paraguay y Colombia, durante la segunda quincena de setiembreUna semana de rodaje durante la última semana de octubreLos gastos de aviones, alojamiento, manutención, etc. están cubiertos.            ",""
"Free Lancer´s Socioeconómicos
                ",http://www.nubelo.com/proyecto/free-lancer-s-socioeconomicos,"4 días
                       ","10 días
                      ","proyecto freelance
           ","Mexico, Toluca
               ","sin especificar
              ","Junior (
                               ",HH-**** ,Mexico                ,"
              Realizar verificaciones domiciliarias de estudios socioeconómicos, cargar formatos y entregar en tiempo y forma, la remuneración de servicios es exprés al recibir los formatos se realiza la transferencia bancaria.             ",""
"Comercio en Facebook
                ",http://www.nubelo.com/proyecto/comercio-en-facebook-2,"4 días
                       ","25 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Designinnweb ,Mexico                ,"
              Poner en marca ventas en facebook de una fanpage que se dedica a venta de productos.Lo que se pretende es que a través de esta red social se puedan tomar pedidos y se puedan realizar pagos aquí mismo. quisiera saber que propuestas hay sobre este servicio, como funciona, cuales son los alcances y también que presupuesto de inversión publicitaria es el adecuado para que funcione correctamente. Gracias. =)Atte. Judith PianaDuración del proyecto: Larga duraciónAplicación en medios sociales: Facebook            ",""
"Comercio en Facebook
                ",http://www.nubelo.com/proyecto/comercio-en-facebook-1,"4 días
                       ","25 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Designinnweb ,Mexico                ,"
              Poner en marca ventas en facebook de una fanpage que se dedica a venta de productos.Lo que se pretende es que a través de esta red social se puedan tomar pedidos y se puedan realizar pagos aquí mismo. quisiera saber que propuestas hay sobre este servicio, como funciona, cuales son los alcances y también que presupuesto de inversión publicitaria es el adecuado para que funcione correctamente. Gracias. =)Atte. Judith Piana             ",""
"Comercio en Facebook
                ",http://www.nubelo.com/proyecto/comercio-en-facebook,"4 días
                       ","25 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Designinnweb ,Mexico                ,"
              Poner en marca ventas en facebook de una fanpage que se dedica a venta de productos.Lo que se pretende es que a través de esta red social se puedan tomar pedidos y se puedan realizar pagos aquí mismo. quisiera saber que propuestas hay sobre este servicio, como funciona, cuales son los alcances y también que presupuesto de inversión publicitaria es el adecuado para que funcione correctamente. Gracias. =)Atte. Judith Piana             ",""
"Maquetar entorno gestión con plantilla METRONIC
                ",http://www.nubelo.com/proyecto/maquetar-entorno-gestion-con-plantilla-metronic,"5 días
                       ","1 día y 20 horas
             ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Pil**** ,España                ,"
              Estamos buscando un freelance que pueda maquetarnos nuestro entorno de gestión con la plantilla METRONIC.Nuestro entorno de gestión ya está funcionando, pero queremos darle un nuevo look con esta plantilla.La plantilla ofrece muchas opciones de configuración, por eso se necesita un freelance que, una vez vistos los presets de componentes básicos y estilos a utilizar, tenga conocimientos de diseño para que sea capaz de tomar decisiones por sí mismo a la hora de crear las diferentes páginas.Existe una descripción detallada de lo que tienen que contener cada una de las páginas. El tipo de páginas a maquetar son:Listados de productosFichas de productosListados de UsuariosFichas de usuariosEstadísticas de ventasFichas de categorías / tagsFichas de gestión variasLa mayoría de las páginas comparten mismo estilo de maquetación, cambiando contenidos a mostrar (como una página de listado cambiando las columnas) El número de páginas únicas a maquetar es de 5, y el número de variantes de páginas de aproximadamente 15.El trabajo es muy sencillo y su duración no ha de excederse más de dos semanas.            ",""
"Redactor experto en ventas
                ",http://www.nubelo.com/proyecto/redactor-experto-en-ventas,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Inboundcycle ,España                ,"
              Estamos buscando un redactor experto en ventas para la redacción de artículos de un blog que tratará temáticas como técnicas de ventas, crecer hacer crecer un negocio, habilidades comunicativas, negociación, motivación en ventasy estrategia comercial.Será un proyecto de trabajo recurrente y consistirá en 14 artículos mensuales, de 700 palabras cada uno. Las temáticas serán: - Técnicas de cierre de ventas - Cómo conseguir clientes - Objeciones de ventas - Cómo vender un producto - Tipos de clientes y como tratarlosEn caso de estar interesado, por favor, explicanos tu experiéncia en ventas y envianos tu currículum.Cantidad de palabras: De 500 a 1000            ",""
"Web corporativa y tienda online Drupal
                ",http://www.nubelo.com/proyecto/web-corporativa-y-tienda-online-drupal,"5 días
                       ","24 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ",Ozz Barcelona ,España                ,"
              Solicitud valoración Web corporativa + tienda    online 1.   Diseño y Estructura.El diseño de la web es definido por la plantilla Rhythm. 1.1.       Formatos de pagina.Se utilizaran los formatos que ya dispone la plantilla Rhythm para las distintas elementos de la web.2.   Textos, contenidos y traducciones.2.1 Textos de estructura.Se entregarán, para que el desarrollador, pueda introducir las dos primeras páginas de contenido de cada sección 2.2. Textos de contenidos e imágenes. Introducción de 2 paginas internas de contenido corporativo, de cada área. 3.   Panel de control.La web dispondrá de un área de administración a través del que se podrá administrar la tienda virtual, paginas genéricas de contenido, Diseñadores, Coworkers, Talleres, Artistas, Actividades, Patrocinadores, Colaboradores, Alojamientos y Artículos del blog sin necesidad de tener conocimientos técnicosEl cliente tendrá todas las claves y accesos a todas las áreas de la web, por si en el futuro deseara cambiar dedesarrollador o por cualquier otro motivo. 4.   Optimización para buscadores.Estructura y código fuente de la web optimizado para que la web sea indexada fácilmente por los buscadores. 5.   Google Analytics.Instalación de código de Google analytics en todas las paginas de la web. 6.   Popup con Aviso legal.Efecto POP-UP en el footer con información general sobre la política de privacidad/Cookies con la opción para confirma su aceptación según leyes actuales. 7.   Buscador interno.Buscador con la estructura y funcionalidades provistas por la plantilla Rhythm.8.   Pie de Pagina.El pie de pagina tendrá la siguiente estructura:Preguntas frecuentesAviso legal y Política de privacidadTérminos y condiciones de compraMapa del sitioContactoBloque con links a las redes sociales  9.   Tienda Virtual Drupal Commerce.Métodos de pago.Configuración de PayPal: Los usuarios podrán realizar pagos utilizando su cuenta de PayPal o mediante tarjeta de crédito o débito a través PayPal. Configuración e integración de Pasarela Bancaria: Instalación TTPV  9.2.         Métodos de Transporte.-Configurar los cargos a los clientes de la tienda online, por gastos de transportes 9.3.         Contenido para catalogo y productos.Introducción de 5 categorías del catálogo, como ejemplo y base para ampliar ilimitadamente por nosotros. El catalogo será provisto por el cliente en el momento de aceptar el presupuesto. Introducción de hasta 10 productos del catálogo del cliente como ejemplo y base para ampliar ilimitadamente por nosotros.10.    Idiomas.Configuración y preparación de la web para soportar 3 idiomas. Idioma base + 2 adicionales. Ingles, Castellano, Francés. 11.  Traducción de textos.Entregaremos los textos traducidos 11.1.        Introducción de traducciones de estructura. Introducción de los textos traducidos. Si faltara alguno, hacerlo con traducción básica de google translate y después ya lo mejoracíamos nosotros.12.    Tareas de Mantenimiento.Proporcionar precio por hora para tareas de mantenimiento.  Alojamiento Web aegir.Alojamiento web AegirNOTAS AL PRESUPUESTO: Forma de pago?Tiempo de entrega?No queremos publicidad del desarrolladorMantenimient? Pvp hora? Presencial? Barcelona? Virtual?Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: web y tienda onlineDiseño para: Web, MóvilEstado del proyecto: Tengo las especificaciones            ",""
"Necesito una web responsive en Wordpress usando GeneratePress junto a Thrive Content Builder
                ",http://www.nubelo.com/proyecto/necesito-una-web-responsive-en-wordpress-usando-generatepress-junto-a-thrive-content-builder,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Sup**** ,España                ,"
              Hola buenas tardes:Necesitaríamos una web totalmente responsive adaptada para dispositivos móviles y tablets para una academia de enseñanza infantil que queremos abrir próximamente. Como no entendemos de programación web y queremos complicarnos lo menos posible con su configuración y personalización en el futuro queremos que para su desarrollo se use la combinación GeneratePress junto a Thrive Content Builder (por supuesto necesito que el desarrollador cuente con licencia multisite para evitar problemas…)Necesitamos un diseño personalizado con todas las modificaciones necesarias hasta conseguir un buen resultado y que incluya un periodo de mantenimiento en el que podamos hacer consultas en caso de problemas o dudas con la configuración de la plataforma (integración con servicios,...).¿Se podría ver portafolio con otros trabajos anteriores?Quería presupuesto que incluya:- Instalación de wordpress. Ya tengo dominio pero todavía necesitaría un hosting preferentemente con buen servicio de atención al cliente y en español (ya tuve en el pasado una mala experiencia con hostgator). De momento no lo he comprado por si el desarrollador tiene sugerencias con buena relación calidad/precio.- Instalación, configuración y personalización usando la combinación GeneratePress + Thrive Content Builder- Maquetación de contenido. Creación de secciones, menú superior, formularios e inserción de textos, imágenes y vídeos que se necesitara incluir en cada página. Todo personalizado con el estilo, tipografía y colores que más nos guste (Por supuesto nosotros nos encargaremos del contenido)- Integración de un formulario de contacto y vínculos a presencia en redes sociales y email marketing (Mailchimp, Mailrelay,...). Integración con Google Analytics y Google Webmaster Tools.- Instalación y configuración del plugin Thrive Leads para la creación de los formularios que necesitemos en el futuro.- Creación de cuentas de correo. Configuración e instalación de cuentas de correo con la extensión de tu dominio ([eliminado],[eliminado], etc.).- Optimización SEO y envío del sitemap para aparecer en los buscadores. Instalación y configuración del plugin SEO Yoast.- Optimización WPO de la velocidad de carga de la web para una rápida conexión desde dispositivos móviles.- Modificación del archivo .htaccess y configuración para evitar ataques a la web. Instalación de plugin anti-spam (Akismet) y de sistema de copias de seguridad para restaurar ante cualquier problema (pirateo, fallo de actualización, etc).- Instalación y configuración de plugin para cumplir con la ley de protección de datos de España, incluyendo a ser posible los textos legales, política de privacidad, política de cookies y aviso legal, obligatorios.            ",""
"Redacción contenido para blog
                ",http://www.nubelo.com/proyecto/redaccion-contenido-para-blog,"5 días
                       ","24 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Intermedio (3-5 años)
                  ",Comunicae ,España                ,"
              Título: Millennial como nuevo consumidor o empleadoReflexionar sobre las peculiaridades de la generación Millennial en cuento a su participación como trabajadores en empresas así como sus hábitos de consumo.Cantidad de palabras: De 200 a 500            ",""
"Desarrollo web (metabuscador)
                ",http://www.nubelo.com/proyecto/desarrollo-web-metabuscador,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Erif85 ,España                ,"
              Crear un metabuscador de viajes , que compare precios de otros buscadores web, ejemplo: trivago.                                                                                                                    Duración del proyecto: No estoy seguroRoles a cubrir por el freelance: DesarrolladorEstado del proyecto: Tengo la idea            ",""
"Crear una web en wordpress
                ",http://www.nubelo.com/proyecto/crear-una-web-en-wordpress-4,"5 días
                       ","21 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Experto (+10 años)
                     ",NG ,España                ,"
              Busco alguien con experiencia para hacer y enseñar a realizar págs web en WP. primero será realizar una pág web en wordpress varios idiomas. y continuación  será la formación para futuras webs. Podrá realizar el trabajo desde su casa            ",""
"COMMUNITY MANAGER
                ",http://www.nubelo.com/proyecto/community-manager-503,"5 días
                       ","24 días
                      ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",planesqui ,España                ,"
              Buscamos a una persona con iniciativa, responsable y con gran implicación. Conocimiento del mundo digital para gestionar el departamento de Social Media para portal de viajes especializado en viajes de esquí, surf, aventura.- Conocimientos de wordpress.- Resolutivo y activo en Redes Sociales.- Gestión estratégica de perfiles en Redes Sociales.- Desarrollo de la estrategia de gestión y contenidos para la comunidad en perfiles de redes sociales.- Impulsar el crecimiento continuo de seguidores de calidad, estableciendo objetivos mensuales. - Capacidad oral y escrita para llegar a acuerdos con otras redes sociales.- Retargeting. El Social Media se encargará de crear y dirigir las campañas en las redes sociales con capacidad de generar contenido de interés de la empresa.- Análisis e identificación de Influencers / Competidores / Referentes.- Optimización y activación de otros canales de medios sociales integrados en la Estrategia Social (Google Plus, Youtube, Instagram , ... )- Seguimiento de indicadores clave de rendimiento y desempeño competitivo de todos los canales de medios sociales.- Propuesta de concursos / promociones / Aplicaciones para Twitter / Facebook / Web / Mobile. - Conocimientos de SEO, SEM y posicionamiento en buscadores- Requerimos una persona capaz de redactar de manera creativa y con experiencia en el manejo de redes sociales- Monitorizar a la competencia y analizar el impacto de las acciones- Redacción y gestión de blogs.- Conocimiento de envío de Newsletter - Realización de llamadas y envío de correos para contactos con potenciales colaboradores.             ",""
"Crear un videojuego de lucha en primera persona
                ",http://www.nubelo.com/proyecto/crear-un-videojuego-de-lucha-en-primera-persona,"5 días
                       ","24 días
                      ","proyecto freelance
           ","España, Alicante
             ","sin especificar
              ","Intermedio (3-5 años)
                  ",Ángel Ramos ,España                ,"
              Buenas! Veréis, hace unos dias contraté a una modeladora 3d para hacer los modelos de los luchadores. Ahora mismo lo que busco es un freelancer que pueda hacer el menú del juego y sepa hacer que los jugadores se puedan mover, que puedan hacer los movimientos etc.El juego va a ser tipo WWE en primera persona donde se puedan utilizar más de 50 personajes y necesito que alguien sepa hacer lo dicho, que el personaje se pueda mover, que pueda hacer ciertos movimientos en  un momento exacto, que se pueda interactuar con los objetos del ring etc. las animaciones están hechas.            ",""
"Fotometría
                ",http://www.nubelo.com/proyecto/fotometria,"5 días
                       ","24 días
                      ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Junior (
                               ",Wenceslao ,España                ,"
              Se busca ingeniero o ingenieros para crear un dispositivo de fotogametría con placas Rapsberry Pi ( o similares ) y módulos de cámara. La idea es crear un escáner 3D basado en fotogametría de bajo costo.Aquellos que estén interesados en el proyecto, no duden en contactar conmigo. Espero vuestras propuestas.            ",""
"Traducir artículos sobre ganar dinero
                ",http://www.nubelo.com/proyecto/traducir-articulos-sobre-ganar-dinero,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Arturo ,Peru                ,"
              Estoy buscando un traductor freelance para traducir del español al inglés unos 10 artículos de una página web sobre el tema ""ganar dinero"". Busco de preferencia traductores freelance nativos de habla inglesa.Cantidad de palabras: Más de 1000Tipo de documento a traducir: Ganar dinero            ",""
"HTML5 ANIMACION SLIDER REVOLUTINSLIDER
                ",http://www.nubelo.com/proyecto/html5-animacion-slider-revolutinslider,"5 días
                       ","24 días
                      ","proyecto freelance
           ","Colombia, Bogotá
             ","sin especificar
              ","Junior (
                               ",Manuel ,Colombia                ,"
              BUSCO GENTE SERIA, CON EXPERIENCIA Y RESPONSABLE.PORFAVOR ADJUNTAR O PONER INKS DE TRABAJOS REALIDOS CON BANNERS ANIMADOSALGO ASI COMO ESTO flatvsrealism , COMESPERO MENSAJES SOLO DE PERSONAS QUE PUEDAN HACER COSAS ASI EN HTML5 Y CSS.EL TRABAJO ES PARA HACER MUCHAS DE ESAS.            ",""
"Front-End developer
                ",http://www.nubelo.com/proyecto/front-end-developer-112,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Rockstar Coders ,United States                ,"
              We are a growing staffing agency based out of New Haven, Connecticut, specialized in the placing of remote software development professionals to work directly with our clients located exclusively within the United States. We are currently looking for a Front-End Developer for one of our clients. Responsibilities- You will be utilizing the latest web technologies to solve challenging problems- Create innvative web applications from the ground up- Understand exactly what it takes to create an outrageously good web experience for the final clients- Build new components for new products and improving the existing codebase- Build efficient and reusable front-end abstraction and systems- Identify, communicate and implement best practices for front-end engineering- Rapidly create high-quality demos for potential clients- Reverse-engineer existing designs and create widgets that smoothly interegrate with existing sites- Clearly communicate with clients, including creating instructions for inserting JavaScript into their sites Requirements- Focused on high performance front-end development- 2+ years of experience in front-end development- Strong design sense and ability to reverse-engineer existing designs- Strong HTML5 skills- Ability to build cross-browser interfaces and knowledge of cross-plaform implementations and limitations- Knowledge of high performance front end practices- Deadline oriented- Responsive and client oriented- Can work independently or without supervision- Strong English communicational skills to speak, write and read- Must have a high-speed and reliable internet connection as well as availability to communicate with our team and our clients during US business hours (from 9am to 6pm EST)  What We Offer- The ability of working from home and directly with our team and our clients located in the US- We are looking to build a team of elite developers and designers and therefore we are interested in evolving this and any other roles into a full-time and ongoing position for the right person- This is a great opportunity for out of the box thinkers who are excited to grow up professionally within the company- A competitive salary             ",""
"Una hora de formacion Apache2 y SSL
                ",http://www.nubelo.com/proyecto/una-hora-de-formacion-apache2-y-ssl-1,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Tecnonet ,España                ,"
              Necesito un experto que me de una clase de una hora vía online sobre la configuración de https en un servidor apache2 con virtualhost sobre Debian.Yo soy sysadmin desde hace mas de 10 años pero se me atraganta este aspecto            ",""
"implementación de Quickbooks online
                ",http://www.nubelo.com/proyecto/implementacion-de-quickbooks-online,"5 días
                       ","24 días
                      ","proyecto freelance
           ","Mexico, Mexico City
          ","48,15 €
                      ","Intermedio (3-5 años)
                  ",Tecnispice ,Mexico                ,"
              Necesito un candidato con experiencia en Quickbooks Online, que me apoye en la implementación del mismo, que tenga experiencia en este sistema. Que tenga conocimientos de contabilidad y finanzas y que tenga conocimientos de sistemas operativos.             ",""
"Posicionamiento WEB, SEO, Marketing Online y Redes Sociales
                ",http://www.nubelo.com/proyecto/posicionamiento-web-seo-marketing-online-y-redes-sociales,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","100,00 €
                     ","Intermedio (3-5 años)
                  ",AmadeusEscort ,España                ,"
              AmadeusEscort es una nueva creación de agencia de escorts y acompañantes de lujo, por lo que se necesita posicionamiento web, seo, manejo de redes sociales y definitiva, mejorar nuestra presencia.Buscamos a alguien que pueda impulsar nuestra web de forma inicial, con posibilidad de seguir trabajando con nosotros.             ",""
"marketing
                ",http://www.nubelo.com/proyecto/marketing-304,"5 días
                       ","24 días
                      ","proyecto freelance
           ","Argentina, Rosario
           ","sin especificar
              ","Junior (
                               ",Paola Tedeschi ,Argentina                ,"
              hola, yo tengo una pieza digital necesito que alguien la administre la publique y me  brinde los datos  de los clientes para que yo pueda realizar las ventas de planes de ahorro. .puede ser en fb y todas las redes sociales.. un buscador de datos!  http://www.idgm.com.ar/clientes/giorgi/news01/http://www.idgm.com.ar/clientes/giorgi/form-giorgi.html             ",""
"Experto en OsClass
                ",http://www.nubelo.com/proyecto/experto-en-osclass,"5 días
                       ","24 días
                      ","proyecto freelance
           ","Venezuela, Caracas
           ","sin especificar
              ","Intermedio (3-5 años)
                  ",Benjamin ,Venezuela                ,"
              Se debe mejorar (UX/UI) de una web de clasificados realizado en la plataforma OsClass. Se valorara conocimientos en diseño. Es un proyecto abierto, sin finalización.la Url del proyecto es www.pier.es/clasificados             ",""
"Profesional para gestionar la reputación online de mi empresa.
                ",http://www.nubelo.com/proyecto/profesional-para-gestionar-la-reputacion-online-de-mi-empresa,"5 días
                       ","24 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","50,00 €
                      ","Experto (+10 años)
                     ",Aitor ,España                ,"
              Buenos días,Busco un profesional para gestionar la reputación online de mi empresa y también de la mía como persona física.El trabajo es de continuo en el tiempo. Muchas gracias, quedo a la espera de las ofertas.Saludos,            ",""
"tecnico de enfermeria
                ",http://www.nubelo.com/proyecto/tecnico-de-enfermeria,"5 días
                       ","24 días
                      ","proyecto freelance
           ","Peru, Ica
                    ","500,00 €
                     ","Junior (
                               ",HOLOSALUD ,Peru                ,"
              Se necesita tecnico en enfermeria titulado ,dinamico y proactivo ,buen nivel de comunicacion,buena presencia y este dispuesto a trabajar en equipo, realizar procedimientos de enfermeria ocupacional. Audiometria, espirometria            ",""
"Redacción de guiones para vídeos animados de 60 segundos (150-180 palabras)
                ",http://www.nubelo.com/proyecto/redaccion-de-guiones-para-videos-animados-de-60-segundos-150-180-palabras,"6 días
                       ","23 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Jose Otero ,España                ,"
              Estoy buscando a un redactor profesional con conocimientos en copywriting para escribir guiones para vídeos animados de 60 segundos,  por lo tanto los guiones han de ser cortos (entre 150-180 palabras)Actualmente cuento con un par de plantillas base para redactar los guiones.Las compartiría contigo, aunque tienes libertad para escribirlo a tu manera.Si estás interesado y para asegurarme que has leído el mensaje, empieza tu propuesta con la palabra 'amarillo'.También te digo que tendrás que redactar unos 15 guiones al mes, por lo que busco a alguien que se comprometa a tener disponibilidad total para hacer el trabajo en el mismo día en el que se le indica.También me interesa que te comprometas a estar varios meses, ya que estoy buscando a alguien para que se incorpore a mi equipo a medio-largo plazo como redactor de guiones.IMPORTANTE: Que puedas emitir factura profesional por los trabajos.            ",""
"Programador Senior Java. Servicios SOAP y REST
                ",http://www.nubelo.com/proyecto/programador-senior-java-servicios-soap-y-rest,"6 días
                       ","23 días
                      ","proyecto freelance
           ","España, Valladolid
           ","sin especificar
              ","Intermedio (3-5 años)
                  ",DissenSig S.L. ,España                ,"
              Buscamos una persona con experiencia en Java. Sus funciones serán ayudarnos y colaborar en la creación de servicios Soap y Rest implementados en Java. El aspirante tendrá que tener experiencia demostrada en Java, programando servicios SOAP y REST.            ",""
"Profesional de SEO&SEM y Google Adwords
                ",http://www.nubelo.com/proyecto/profesional-de-seosem-y-google-adwords,"6 días
                       ","1 mes y 8 días
               ","proyecto freelance
           ","en cualquier parte del mundo
 ","50,00 €
                      ","Experto (+10 años)
                     ",Aitor ,España                ,"
              Buenos días,El trabajo es desarrollar las campañas publicitarias en Google Adwords para una Website y las estrategías de SEO&SEM de la misma. Sería un trabajo continuao en el tiempo. Muchas gracias. Saludos.            ",""
".NET senior software developer
                ",http://www.nubelo.com/proyecto/net-senior-software-developer,"6 días
                       ","23 días
                      ","proyecto freelance
           ","Costa Rica, Escazú
           ","sin especificar
              ","Senior (6-10 años)
                     ",Maria ,Costa Rica                ,"
              We are seeking a highly motivated software developer to work within our project team to build, enhance and support software solutions of a high quality for Microsof. What will you do? - Develop software and systems for client and internal projects - Maintain a high level of quality across all aspects of work - Collaborate with and mentor other team members - Assist with code reviews - Assist in the analysis and design phase of projects, write functional specifications and set accurate time estimates - Document technical, installation and configuration specifications - Work within project timelines and budget constraints - Adhere to Zarmada’s coding standards What do you need to be successful? - BS/MS degree in a relevant subject - Experience working in an Agile/Scrum development process - Strong documentation skills - Attention to detail and a strong sense of organization - Excellent logic and analytical skills - Ability to multi-task projects - Team player and capable of working independently, meeting time and budget expectations - Should have thorough understanding and analysis of OOPS Concepts - Design, build, and maintain efficient, reusable, and reliable C# code Technical requirements: - Expert knowledge of Microsoft technologies, including Microsoft .NET 4.0/4.5, C#, ASP.NET MVC, IIS, WCF, Entity Framework, XML/Web Services, and SQL Server. - Nuget - Azure - Databases SQL or NoSQL - LINQ, NHibernate or other ORM system - Dependency Injection - HTML5 - CSS3 - JavaScript and Jquery - AngularJS or any other MVC library - Rest Services - Continuous Integration - Experience with source control we use Git            ",""
"Redacción de 5 artículos en el nicho de búsqueda de empleo
                ",http://www.nubelo.com/proyecto/redaccion-de-5-articulos-en-el-nicho-de-busqueda-de-empleo,"6 días
                       ","23 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",David ,España                ,"
              Los artículos deben cumplir con los siguientes requisitos:- 1000 palabras.- Tematica: búsqueda de empleo, ganar dinero, motivación, desarrollo personal.- optimizados desde el punto de vista SEO, las palabras clave deben tener un alto valor en google adwords (1 euro cpc) y potencial de visitas (100 día) pero deben tener relativamente poca competencia como para posicionarlos en las primeras posiciones de google (el trabajo es para una web con casi 200.000 visitas mensuales) de tal manera que puedan tener un potencial retorno en google adsense de al menos 10 euros al año.- el articulo debe adaptarse al tono de la web- el articulo debe enganchar al lector, conteniendo al menos uno de los siguientes recursos: lista de cosas que aprenderá el lector (por ejemplo ""las 7 cosas que nadie te ha contado sobre...""), frases de motivacion, enlaces a videos de youtube o vimeo que puedan interesar al lector.- el articulo debe estar bien estructurado, con un inicio, cuerpo y conclusión bien diferenciados.si los 5 articulos son buenos, habrá opción de trabajar en un número mayor (10 al mes)se requiere portfolio de artículos o artículo de muestra con las características descritas.            ",""
"Tenemos que realizar pruebas para el desarrollo de nuestras aplicaciones.
                ",http://www.nubelo.com/proyecto/tenemos-que-realizar-pruebas-para-el-desarrollo-de-nuestras-aplicaciones-2,"6 días
                       ","1 mes y 8 días
               ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Phonemetra Inc ,United States                ,"
              Tenemos que realizar pruebas para el desarrollo de nuestras aplicaciones.Instalación de la aplicación en su teléfono o dispositivo móvil, el control operativo, errores de detección, el envío de informes a la promotora.Pago semanal y de manera progresiva de acuerdo con nuestro compromiso para probar la aplicación.            ",""
"NARRADOR - LOCUTOR DE AUDIOLIBROS
                ",http://www.nubelo.com/proyecto/narrador-locutor-de-audiolibros,"6 días
                       ","23 días
                      ","proyecto freelance
           ","España, Barcelona
            ","350,00 €
                     ","Intermedio (3-5 años)
                  ",RAFAEL  ,España                ,"
              Soy titular de varios canales de Youtube, cuyo contenido lo constituyen fundamentalmente audiolibros y vídeos para los que utilizo las voces más avanzadas TTS y a las que aplico filtros de edición de audio para aumentar su calidad. Sin embargo dado mi interés y dedicación a esta actividad, me gustaría producir decididamente este formato con voz humana. Tengo una gran cantidad libros listos para editar, la frecuencia de subida de los audios sería de 3 a 5 audiolibros y 10 vídeos como mínimo mensuales. Espero que te resulte interesante la actividad. Creo que en España aún no está muy desarrollado este sector sobre todo en relación a las temáticas que abordo que son: mitología, ciencia ficción, misterios, espiritualidad, etc. Mis canales son: El Gran Cielo, Misterios Eternos y Magnum Caelum.            ",""
